Description,Expression,work,univ,school,escort,shopping,eatout,othmaint,social,othdiscr,atwork
SOCIAL - OOD bin 0 to 1 mile,"@np.where((np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) >= 0) & (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) < 1), 1, 0)",,,,,,,,0.2,,
#DISCRETIONARY,,,,,,,,,,,
DISCRETIONARY - Distance squared,"@((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ** 2)",,,,,,,,,0.0026,
DISCRETIONARY - Distance cubed,"@((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ** 3)",,,,,,,,,-0.0000109,
DISCRETIONARY - Log of distance,"@np.log(od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,,,,-0.3218,
DISCRETIONARY - Distance - return half tour,"@(~df.outbound) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,,,,0.00873,
DISCRETIONARY - Distance - 2nd stop of half tour,"@(df.trip_num == 2) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,,,,,,,-0.00269,
DISCRETIONARY - Distance - 3rd+ stop on half tour,"@(df.trip_num > 3) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,,,,,,,-0.01045,
DISCRETIONARY - Distance - shared ride tour,"@(df.tour_mode_is_shared_ride) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,,,,0.002442,
DISCRETIONARY - Distance - walk/bike tour,"@((df.tour_mode=='WALK')|(df.tour_mode=='BIKE')) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,,,,-0.01308,
DISCRETIONARY - Distance - transit tour,"@((df.tour_mode_is_transit) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]))",,,,,,,,,0,
DISCRETIONARY - indiv tour distance - work stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'work')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,,-0.195,
DISCRETIONARY - indiv tour distance - escort stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'escort')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,,-0.2596,
DISCRETIONARY - indiv tour distance - shopping stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'shopping')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,,-0.286,
DISCRETIONARY - indiv tour distance - eat out stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'eatout')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,,-0.2927,
DISCRETIONARY - indiv tour distance - other maintenance stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'othmaint')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,,-0.2196,
DISCRETIONARY - indiv tour distance - social/visiting stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'social')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,,-0.3061,
DISCRETIONARY - indiv tour distance - other discretionary stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'othdiscr')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,,-0.2999,
DISCRETIONARY - joint tour distance - work stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'work')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,,-0.195,
DISCRETIONARY - joint tour distance - escort stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'escort')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,,-0.2596,
DISCRETIONARY - joint tour distance - shopping stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'shopping')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,,-0.286,
DISCRETIONARY - joint tour distance - eat out stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'eatout')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,,-0.2927,
DISCRETIONARY - joint tour distance - other maintenance stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'othmaint')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,,-0.2196,
DISCRETIONARY - joint tour distance - social/visiting stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'social')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,,-0.3061,
DISCRETIONARY - joint tour distance - other discretionary stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'othdiscr')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,,-0.2999,
DISCRETIONARY - distance (calibration adjustment individual),"@np.where((~df.is_joint), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,,0,
DISCRETIONARY - distance (calibration adjustment joint),"@np.where((df.is_joint), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,,0,
DISCRETIONARY - constant for transit tours (stop w/in walking distance of home,"@np.where(((~df.outbound) & (df.trip_num==1) & (od_skims[('SOV_FREE_DISTANCE', 'MD')]<3) & (df.tour_mode_is_transit)), 1, 0)",,,,,,,,,-3,
DISCRETIONARY - constant for transit tours (stop w/in walking distance of prim dest,"@np.where(((df.outbound) & (df.trip_num==1) & (dp_skims[('SOV_FREE_DISTANCE', 'MD')]<3) & (df.tour_mode_is_transit)), 1, 0)",,,,,,,,,-5,
DISCRETIONARY - OOD Distance,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 27) > 0, np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 27), 0)",,,,,,,,,0.28,
DISCRETIONARY - OOD Distance squared,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 27) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 27)) ** 2, 0)",,,,,,,,,-0.0184,
DISCRETIONARY - OOD Distance cubed,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 27) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 27)) ** 3, 0)",,,,,,,,,0.00036,
DISCRETIONARY - Log of OOD distance,"@np.where(np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 27) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 27)).apply(np.log1p), 0)",,,,,,,,,-0.15788,
DISCRETIONARY - Negative OOD,"@np.where(np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 27) < 0, 1, 0)",,,,,,,,,-0.072240928,
DISCRETIONARY - OOD bin 0 to 1 mile,"@np.where((np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 27) >= 0) & (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 27) < 1), 1, 0)",,,,,,,,,-0.3737,
#ATWORK,,,,,,,,,,,
ATWORK - Distance squared,"@((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ** 2)",,,,,,,,,,0.0026
ATWORK - Distance cubed,"@((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ** 3)",,,,,,,,,,-0.0000109
ATWORK - Log of distance,"@np.log(od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,,,,,-0.3218
ATWORK - Distance - return half tour,"@(~df.outbound) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,,,,,0.00873
ATWORK - Distance - 2nd stop of half tour,"@(df.trip_num == 2) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,,,,,,,,-0.00269
ATWORK - Distance - 3rd+ stop on half tour,"@(df.trip_num > 3) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,,,,,,,,-0.01045
ATWORK - Distance - shared ride tour,"@(df.tour_mode_is_shared_ride) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,,,,,0.002442
ATWORK - Distance - walk/bike tour,"@((df.tour_mode=='WALK')|(df.tour_mode=='BIKE')) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,,,,,-0.01308
ATWORK - Distance - transit tour,"@((df.tour_mode_is_transit) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]))",,,,,,,,,,0
ATWORK - distance - work stop purpose,"@(df.purpose == 'work') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,,,,,,,,-0.195
ATWORK - distance - escort stop purpose,"@(df.purpose == 'escort') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,,,,,,,,-0.2596
ATWORK - distance - shopping stop purpose,"@(df.purpose == 'shopping') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,,,,,,,,-0.286
ATWORK - distance - eat out stop purpose,"@(df.purpose == 'eatout') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,,,,,,,,-0.2927
ATWORK - distance - other maintenance stop purpose,"@(df.purpose == 'othmaint') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,,,,,,,,-0.2196
ATWORK - distance - social/visiting stop purpose,"@(df.purpose == 'social') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,,,,,,,,-0.3061
ATWORK - distance - other discretionary stop purpose,"@(df.purpose == 'othdiscr') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,,,,,,,,-0.2999
ATWORK - distance (calibration adjustment),"@(od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,,,,,0.148
ATWORK - OOD Distance,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) > 0, np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9), 0)",,,,,,,,,,0.0080384
ATWORK - OOD Distance squared,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9)) ** 2, 0)",,,,,,,,,,-0.1285871
ATWORK - OOD Distance cubed,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9)) ** 3, 0)",,,,,,,,,,0.0098048
ATWORK - Log of OOD distance,"@np.where(np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9)).apply(np.log1p), 0)",,,,,,,,,,0.4478928
ATWORK - Negative OOD,"@np.where(np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) < 0, 1, 0)",,,,,,,,,,0.60909173
ATWORK - OOD bin 0 to 1 mile,"@np.where((np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) >= 0) & (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) < 1), 1, 0)",,,,,,,,,,0.2
